ID,SKILL,FIELD,EDUCATION_LEVEL,EXPERIENCE,ALLOW_WFH
340,"RUST,OBJECTIVE-C,JAVASCRIPT",CS,DB,"WEB DEVELOPER,FULL STACK DEVELOPER",0
341,"RUBY,PYTHON,JAVA",IT,DBM,,0
342,"SWIFT,PHP,JULIA",CS,DBMP,DATA ANALYST,0
343,DART,IT,DBM,"DATA ANALYST,MERN STACK DEVELOPER",1
344,"HTML,SWIFT,JULIA",CS,DB,,0
345,"PYTHON,FORTRAN,RUST",IT,DBMP,"DATA SCIENTIST,MEAN STACK DEVELOPER",1
346,SQL,IT,BM,REACTJS DEVELOPER,1
347,"SQL,RUBY,KOTLIN",IT,BM,,1
348,"JAVASCRIPT,PYTHON,FORTRAN",IT,DB,"RUBY ON RAILS DEVELOPER,DATA ANALYST",1
349,JAVASCRIPT,IT,BMP,,0
350,"KOTLIN,JAVASCRIPT,PERL",IT,DBMP,PYTHON DEVELOPER,0
351,"COBOL,CSS,HTML",IT,B,"FRONTEND DEVELOPER,MEAN STACK DEVELOPER",0
352,OBJECTIVE-C,IT,BM,DATA ANALYST,0
353,"PERL,HTML",CS,DB,"FRONTEND DEVELOPER,PYTHON DEVELOPER",0
354,"CSS,HTML,R",CS,DBM,,0
355,"JAVASCRIPT,C#,C/C++",CS,B,,1
356,PHP,IT,B,,1
357,"COBOL,KOTLIN",CS,BM,"JAVASCRIPT DEVELOPER,REACTJS DEVELOPER",1
358,"SWIFT,PHP,SQL",CS,DBMP,FRONTEND DEVELOPER,0
359,RUST,CS,B,DATA SCIENTIST,1
360,DART,CS,DBM,MEAN STACK DEVELOPER,1
361,"SQL,C#",CS,DBM,"REACTJS DEVELOPER,DATA ANALYST",0
362,"RUST,SWIFT,FORTRAN",CS,BMP,"JAVASCRIPT DEVELOPER,DATA ANALYST",1
363,"JAVASCRIPT,SQL",CS,DBMP,JAVASCRIPT DEVELOPER,0
364,"HTML,RUST,COBOL",IT,BM,,0
365,SQL,IT,BMP,,1
366,C#,CS,DBM,,0
367,SQL,CS,BM,"RUBY ON RAILS DEVELOPER,DATA ANALYST",1
368,"HTML,COBOL",IT,DBM,,1
369,"RUST,KOTLIN,PYTHON",CS,B,DATA ANALYST,0
370,"SQL,JULIA",IT,BM,DATA ANALYST,1
371,"PYTHON,HTML",CS,DB,"PRODUCT MANAGER,PRODUCT MANAGER",1
372,JULIA,IT,BM,,0
373,"FORTRAN,DART,SQL",IT,DBMP,,0
374,"FORTRAN,JULIA,JAVASCRIPT",CS,DB,FULL STACK DEVELOPER,1
375,"RUST,CSS,JAVASCRIPT",IT,BM,,0
376,"JULIA,PHP",IT,BM,"MERN STACK DEVELOPER,MERN STACK DEVELOPER",1
377,"SQL,C#",CS,B,,1
378,"SWIFT,RUST,R",CS,DBMP,,0
379,"C#,JULIA,PHP",IT,B,DATA SCIENTIST,1
380,"RUBY,C#,PHP",IT,DBMP,"WEB DEVELOPER,FRONTEND DEVELOPER",1
381,PERL,CS,BM,"WEB DEVELOPER,WEB DEVELOPER",1
382,"PYTHON,PERL",CS,DB,"BACKEND DEVELOPER,RUBY ON RAILS DEVELOPER",1
383,C/C++,IT,DB,MERN STACK DEVELOPER,0
384,"PYTHON,C#",IT,DB,WEB DEVELOPER,0
385,"SQL,C/C++,HTML",CS,DBMP,DATA SCIENTIST,1
386,"DART,HTML,SWIFT",CS,DBM,,1
387,"JAVA,FORTRAN",CS,B,RUBY ON RAILS DEVELOPER,0
388,C/C++,IT,BMP,,0
389,"JAVA,CSS",CS,DBMP,"FRONTEND DEVELOPER,FULL STACK DEVELOPER",1
390,"PYTHON,OBJECTIVE-C,PERL",IT,BM,DATA SCIENTIST,0
391,"HTML,JAVASCRIPT,R",CS,BMP,FULL STACK DEVELOPER,1
392,"PERL,SWIFT,OBJECTIVE-C",CS,DBM,,0
393,"C/C++,PYTHON",CS,DBM,"FRONTEND DEVELOPER,DATA ANALYST",0
394,"KOTLIN,DART",IT,BMP,"MERN STACK DEVELOPER,DATA SCIENTIST",1
395,"PERL,PYTHON,OBJECTIVE-C",CS,BMP,,0
396,"SWIFT,JAVASCRIPT,JULIA",IT,DBMP,"DATA ANALYST,JAVASCRIPT DEVELOPER",0
397,COBOL,CS,BM,REACTJS DEVELOPER,0
398,"JAVA,PHP",IT,DBMP,,1
399,"DART,PERL",CS,DB,JAVASCRIPT DEVELOPER,1
400,"PERL,KOTLIN",CS,BMP,"PYTHON DEVELOPER,MERN STACK DEVELOPER",0
401,"C/C++,JAVASCRIPT,PYTHON",CS,B,"PYTHON DEVELOPER,MERN STACK DEVELOPER",1
402,"R,PYTHON",IT,BM,"PYTHON DEVELOPER,FRONTEND DEVELOPER",1
403,KOTLIN,CS,BMP,REACTJS DEVELOPER,1
404,"DART,RUST",CS,BM,MEAN STACK DEVELOPER,1
405,"CSS,KOTLIN",IT,B,"DATA ANALYST,PYTHON DEVELOPER",0
406,"CSS,JAVASCRIPT",IT,DBM,,1
407,"PYTHON,RUBY,OBJECTIVE-C",IT,DBM,,1
408,"SWIFT,RUST,PERL",CS,DB,"WEB DEVELOPER,WEB DEVELOPER",1
409,"PERL,DART",CS,DBM,REACTJS DEVELOPER,1
410,"C#,DART,PYTHON",IT,B,"DATA ANALYST,JAVASCRIPT DEVELOPER",0
411,"RUBY,R",IT,DBM,"WEB DEVELOPER,MEAN STACK DEVELOPER",0
412,"PHP,SWIFT,FORTRAN",IT,BMP,"FRONTEND DEVELOPER,FULL STACK DEVELOPER",1
413,"C/C++,R,C#",CS,DBM,"MEAN STACK DEVELOPER,MERN STACK DEVELOPER",1
414,"SQL,PERL,OBJECTIVE-C",CS,BMP,,0
415,"SWIFT,JAVASCRIPT",IT,DB,FULL STACK DEVELOPER,1
416,"C/C++,JAVA",CS,BMP,"JAVASCRIPT DEVELOPER,BACKEND DEVELOPER",1
417,"DART,COBOL",CS,DBMP,"REACTJS DEVELOPER,BACKEND DEVELOPER",1
418,"PERL,C/C++,R",CS,BM,"FULL STACK DEVELOPER,JAVASCRIPT DEVELOPER",1
419,"R,JAVASCRIPT",CS,DB,FULL STACK DEVELOPER,1
420,C#,IT,B,,0
421,"OBJECTIVE-C,DART",IT,BMP,,0
422,CSS,CS,B,,1
423,FORTRAN,IT,BM,RUBY ON RAILS DEVELOPER,1
424,"R,RUST,CSS",CS,BM,,1
425,"JAVA,JAVASCRIPT,C/C++",CS,DBM,,1
426,PYTHON,IT,DBMP,RUBY ON RAILS DEVELOPER,0
427,"C#,KOTLIN,COBOL",CS,B,DATA SCIENTIST,0
428,"JAVA,DART",CS,DBM,,1
429,"C/C++,PYTHON",CS,BM,,0
430,"SQL,HTML",CS,DBM,"PYTHON DEVELOPER,MERN STACK DEVELOPER",0
431,HTML,CS,BM,,1
432,"PHP,R",IT,DBMP,"MEAN STACK DEVELOPER,DATA ANALYST",0
433,"C#,RUBY,FORTRAN",CS,BM,FRONTEND DEVELOPER,1
434,"CSS,C#",CS,DB,,0
435,JAVA,IT,DBM,"FRONTEND DEVELOPER,MERN STACK DEVELOPER",0
436,"SWIFT,RUBY,PERL",IT,BMP,,0
437,PERL,CS,DBMP,"WEB DEVELOPER,DATA ANALYST",1
438,SQL,IT,DBMP,"REACTJS DEVELOPER,REACTJS DEVELOPER",0
439,R,IT,DBMP,"FULL STACK DEVELOPER,FRONTEND DEVELOPER",0
440,"R,PYTHON",CS,DBMP,"PYTHON DEVELOPER,JAVASCRIPT DEVELOPER",1
441,"SWIFT,C/C++,OBJECTIVE-C",IT,B,PYTHON DEVELOPER,0
442,PERL,CS,B,"RUBY ON RAILS DEVELOPER,WEB DEVELOPER",0
443,"SQL,OBJECTIVE-C,CSS",IT,BM,,0
444,"PYTHON,DART",CS,B,"MEAN STACK DEVELOPER,WEB DEVELOPER",1
445,"SQL,PERL",IT,DB,,1
446,SQL,CS,DB,"RUBY ON RAILS DEVELOPER,BACKEND DEVELOPER",0
447,OBJECTIVE-C,IT,DBMP,,0
448,"KOTLIN,PERL",CS,DB,,0
449,"SQL,JAVA",CS,DBM,"PRODUCT MANAGER,REACTJS DEVELOPER",1
450,"JAVA,PYTHON",IT,BMP,"DATA SCIENTIST,DATA SCIENTIST",1
451,"RUBY,COBOL",IT,BMP,,1
452,SWIFT,IT,BMP,"MEAN STACK DEVELOPER,MERN STACK DEVELOPER",0
453,FORTRAN,IT,BMP,,1
454,HTML,CS,DBM,"DATA SCIENTIST,FULL STACK DEVELOPER",1
455,"DART,JAVASCRIPT",CS,DBM,,1
456,"PHP,KOTLIN",IT,BMP,REACTJS DEVELOPER,1
457,"FORTRAN,SQL",IT,DBMP,,0
458,"C/C++,COBOL,JULIA",IT,BMP,,0
459,"FORTRAN,SWIFT,PERL",CS,DBMP,DATA SCIENTIST,0
460,HTML,IT,DBM,JAVASCRIPT DEVELOPER,1
461,"SWIFT,CSS",IT,B,"DATA SCIENTIST,PYTHON DEVELOPER",0
462,JAVASCRIPT,CS,DB,,1
463,"KOTLIN,JAVASCRIPT",IT,BM,"WEB DEVELOPER,DATA ANALYST",1
464,SQL,CS,B,PYTHON DEVELOPER,1
465,"JULIA,CSS,PYTHON",IT,BM,REACTJS DEVELOPER,1
466,"FORTRAN,KOTLIN",CS,DB,"MEAN STACK DEVELOPER,FULL STACK DEVELOPER",1
467,"COBOL,PHP,CSS",CS,DBMP,WEB DEVELOPER,1
468,JAVASCRIPT,CS,BM,"DATA SCIENTIST,PYTHON DEVELOPER",1
469,"OBJECTIVE-C,COBOL,JULIA",CS,DB,FRONTEND DEVELOPER,1
470,"DART,C#",CS,BM,"FRONTEND DEVELOPER,DATA ANALYST",1
471,R,CS,DBM,DATA SCIENTIST,0
472,"JULIA,C/C++",IT,DB,REACTJS DEVELOPER,1
473,"COBOL,SQL",IT,BM,WEB DEVELOPER,1
474,KOTLIN,IT,DBMP,,1
475,"PYTHON,SQL,SWIFT",CS,BM,"MERN STACK DEVELOPER,DATA ANALYST",0
476,"C/C++,PHP,FORTRAN",IT,B,"PRODUCT MANAGER,WEB DEVELOPER",0
477,"HTML,SQL,JAVASCRIPT",IT,DB,,0
478,"FORTRAN,PHP",CS,DBMP,,1
479,R,CS,B,,1
480,"SWIFT,C#",IT,DBMP,,0
481,"JULIA,SQL",IT,DBMP,"REACTJS DEVELOPER,DATA SCIENTIST",1
482,"KOTLIN,HTML",IT,BMP,,1
483,"FORTRAN,HTML",CS,BM,"DATA ANALYST,MERN STACK DEVELOPER",1
484,"HTML,FORTRAN",IT,DBM,"PYTHON DEVELOPER,DATA ANALYST",1
485,"PHP,PERL,FORTRAN",IT,B,,1
486,DART,CS,DB,"RUBY ON RAILS DEVELOPER,REACTJS DEVELOPER",0
487,"PYTHON,PHP",IT,BM,"FRONTEND DEVELOPER,DATA ANALYST",1
488,"JAVA,SWIFT,JAVASCRIPT",IT,BM,,0
489,DART,IT,B,"DATA SCIENTIST,RUBY ON RAILS DEVELOPER",1
490,"R,RUST",CS,DBM,,1
491,"COBOL,CSS",IT,DBMP,,0
492,"SQL,OBJECTIVE-C",IT,BM,PYTHON DEVELOPER,1
493,C#,IT,BMP,MERN STACK DEVELOPER,1
494,"CSS,JAVA,PYTHON",CS,BM,RUBY ON RAILS DEVELOPER,1
495,"HTML,FORTRAN,COBOL",IT,DBMP,"MEAN STACK DEVELOPER,MEAN STACK DEVELOPER",1
496,"DART,FORTRAN,RUBY",IT,DBMP,BACKEND DEVELOPER,0
497,C/C++,IT,DBMP,RUBY ON RAILS DEVELOPER,0
498,"PYTHON,RUST",CS,B,,0
499,"OBJECTIVE-C,PERL",IT,B,,1
500,"PHP,RUBY,JAVA",IT,B,"DATA ANALYST,MERN STACK DEVELOPER",1
501,"R,C#",CS,B,"DATA ANALYST,PYTHON DEVELOPER",1
502,"DART,R",CS,DB,"DATA ANALYST,DATA ANALYST",0
503,"RUBY,RUST",IT,BM,BACKEND DEVELOPER,1
504,"C#,SWIFT",CS,DBMP,,1
505,"CSS,SWIFT",IT,DBMP,WEB DEVELOPER,0
506,"COBOL,HTML",IT,BM,,0
507,"FORTRAN,KOTLIN",CS,BMP,,1
508,CSS,CS,BMP,JAVASCRIPT DEVELOPER,1
509,"R,COBOL,JAVASCRIPT",CS,BM,"RUBY ON RAILS DEVELOPER,WEB DEVELOPER",1
510,"SQL,CSS,C/C++",CS,BM,FRONTEND DEVELOPER,1
511,"RUBY,JAVA,OBJECTIVE-C",CS,DBMP,WEB DEVELOPER,0
512,"R,JAVASCRIPT",IT,BMP,"PRODUCT MANAGER,REACTJS DEVELOPER",1
513,"SQL,C/C++",CS,BM,"JAVASCRIPT DEVELOPER,FRONTEND DEVELOPER",1
514,"PHP,PYTHON,RUST",CS,BMP,,0
515,FORTRAN,IT,BM,"RUBY ON RAILS DEVELOPER,MERN STACK DEVELOPER",1
516,"FORTRAN,PYTHON,OBJECTIVE-C",IT,DBM,JAVASCRIPT DEVELOPER,1
517,"C#,PHP,SQL",CS,DB,,0
518,"FORTRAN,SQL",CS,DB,"RUBY ON RAILS DEVELOPER,BACKEND DEVELOPER",1
519,"SQL,PERL,C#",IT,BM,,0
520,"DART,R",IT,BM,"WEB DEVELOPER,RUBY ON RAILS DEVELOPER",0
521,"OBJECTIVE-C,JAVASCRIPT",CS,BMP,,0
522,"CSS,SQL",CS,BMP,,1
523,"OBJECTIVE-C,JAVA,PHP",CS,BMP,JAVASCRIPT DEVELOPER,1
524,"JAVASCRIPT,C#",CS,DB,MEAN STACK DEVELOPER,0
525,"HTML,JAVASCRIPT",CS,BM,,0
526,"COBOL,JULIA,DART",IT,BM,"MERN STACK DEVELOPER,MEAN STACK DEVELOPER",0
527,"SWIFT,OBJECTIVE-C",CS,DBMP,,1
528,"RUST,FORTRAN,SWIFT",IT,DBM,,1
529,"KOTLIN,C#",IT,BM,"DATA ANALYST,FULL STACK DEVELOPER",0
530,"SWIFT,C#,JAVASCRIPT",CS,DBMP,"JAVASCRIPT DEVELOPER,DATA ANALYST",0
531,RUST,CS,BMP,,0
532,PERL,CS,BMP,PRODUCT MANAGER,0
533,"HTML,JULIA",CS,BMP,,0
534,"JAVA,RUST",IT,DBM,JAVASCRIPT DEVELOPER,1
535,PERL,IT,DBM,,1
536,"KOTLIN,JULIA,SWIFT",IT,DBMP,,0
537,"RUST,R",CS,B,,1
538,RUST,IT,DBMP,,0
539,"SQL,JAVASCRIPT",IT,B,"DATA SCIENTIST,BACKEND DEVELOPER",0
540,"HTML,OBJECTIVE-C",CS,BM,,1
541,SWIFT,IT,DBM,FULL STACK DEVELOPER,1
542,"RUBY,PYTHON,HTML",IT,DBMP,WEB DEVELOPER,1
543,"PHP,C#,SQL",IT,BM,,0
544,"JAVA,R,JAVASCRIPT",CS,B,"REACTJS DEVELOPER,FULL STACK DEVELOPER",1
545,"DART,SQL,C/C++",IT,DB,"REACTJS DEVELOPER,FULL STACK DEVELOPER",0
546,"SQL,PYTHON,KOTLIN",CS,DBM,,1
547,"RUBY,SWIFT",CS,B,,0
548,"SWIFT,C#,DART",CS,BMP,RUBY ON RAILS DEVELOPER,0
549,C/C++,CS,DBM,,0
550,"JULIA,PERL,KOTLIN",CS,B,"MERN STACK DEVELOPER,WEB DEVELOPER",0
551,"R,C#,CSS",CS,DBMP,,0
552,"JAVASCRIPT,KOTLIN,HTML",CS,DB,PYTHON DEVELOPER,1
553,"RUBY,R",CS,DB,"RUBY ON RAILS DEVELOPER,PRODUCT MANAGER",1
554,"PHP,DART",IT,DBM,PRODUCT MANAGER,0
555,"HTML,FORTRAN",CS,DBM,,0
556,C#,CS,BM,,1
557,"C#,PERL,CSS",IT,DBM,"DATA ANALYST,FULL STACK DEVELOPER",1
558,"JAVASCRIPT,PERL",IT,BM,REACTJS DEVELOPER,0
559,"PERL,RUBY",IT,B,"FRONTEND DEVELOPER,REACTJS DEVELOPER",0
560,"HTML,JAVA",CS,DBM,BACKEND DEVELOPER,1
561,"FORTRAN,DART,OBJECTIVE-C",IT,DBMP,,1
562,"OBJECTIVE-C,FORTRAN,JAVA",CS,B,,0
563,"RUBY,C/C++",IT,BM,"FRONTEND DEVELOPER,PYTHON DEVELOPER",1
564,"RUST,JAVA",IT,BM,,0
565,"FORTRAN,CSS",CS,B,"WEB DEVELOPER,MEAN STACK DEVELOPER",0
566,"KOTLIN,JAVASCRIPT,C#",IT,DBMP,JAVASCRIPT DEVELOPER,1
567,"FORTRAN,OBJECTIVE-C",IT,B,,1
568,"OBJECTIVE-C,PERL,PHP",IT,B,RUBY ON RAILS DEVELOPER,0
569,JAVA,IT,DBMP,"MEAN STACK DEVELOPER,FULL STACK DEVELOPER",1
570,CSS,CS,BM,PYTHON DEVELOPER,1
571,"JULIA,C#",IT,BM,,0
572,FORTRAN,CS,BMP,PRODUCT MANAGER,0
573,"RUST,JAVA,CSS",IT,DB,,1
574,"SWIFT,FORTRAN,DART",CS,BM,"MERN STACK DEVELOPER,DATA SCIENTIST",0
575,PHP,IT,BMP,,1
576,"COBOL,KOTLIN",IT,DBMP,"PRODUCT MANAGER,REACTJS DEVELOPER",0
577,PYTHON,IT,B,,1
578,"OBJECTIVE-C,FORTRAN",IT,DB,,1
579,FORTRAN,IT,BMP,"MEAN STACK DEVELOPER,MERN STACK DEVELOPER",1
580,"RUST,FORTRAN,CSS",CS,DBM,"RUBY ON RAILS DEVELOPER,DATA SCIENTIST",1
581,"KOTLIN,C/C++",IT,BMP,FRONTEND DEVELOPER,0
582,COBOL,IT,BM,,0
583,C#,CS,BMP,JAVASCRIPT DEVELOPER,0
584,FORTRAN,IT,BM,"FULL STACK DEVELOPER,BACKEND DEVELOPER",0
585,"SQL,C#",IT,BMP,DATA ANALYST,0
586,RUST,CS,BMP,RUBY ON RAILS DEVELOPER,1
587,"COBOL,OBJECTIVE-C,PYTHON",CS,DBMP,"DATA ANALYST,RUBY ON RAILS DEVELOPER",0
588,"CSS,DART,PYTHON",CS,BM,"MEAN STACK DEVELOPER,JAVASCRIPT DEVELOPER",0
589,"JULIA,SQL",IT,DBM,,0
590,CSS,IT,BM,,0
591,"RUBY,SWIFT,PYTHON",IT,DB,"MEAN STACK DEVELOPER,REACTJS DEVELOPER",0
592,CSS,CS,B,DATA SCIENTIST,0
593,"COBOL,JULIA,SWIFT",IT,DBM,,1
594,"JAVASCRIPT,PERL",CS,B,,1
595,"SQL,COBOL",CS,DB,"PYTHON DEVELOPER,RUBY ON RAILS DEVELOPER",1
596,"C#,DART,SQL",CS,DBM,,1
597,HTML,IT,BM,,0
598,"SWIFT,JAVA",CS,B,PYTHON DEVELOPER,1
599,"JAVA,JULIA",IT,DBMP,BACKEND DEVELOPER,1
600,"CSS,RUBY",CS,BMP,,0
601,R,IT,B,PYTHON DEVELOPER,1
602,PHP,IT,BM,FRONTEND DEVELOPER,0
603,"COBOL,DART,JAVASCRIPT",CS,B,,0
604,JULIA,IT,DBMP,,1
605,"COBOL,PHP,RUST",CS,B,,0
606,"PHP,DART",CS,DBMP,MEAN STACK DEVELOPER,0
607,"OBJECTIVE-C,PYTHON",IT,DB,"JAVASCRIPT DEVELOPER,FULL STACK DEVELOPER",0
608,PYTHON,CS,BM,"PRODUCT MANAGER,RUBY ON RAILS DEVELOPER",0
609,"DART,PHP,KOTLIN",CS,DBM,,0
610,"RUST,SWIFT",CS,BM,WEB DEVELOPER,0
611,"RUST,R,COBOL",CS,DBMP,"REACTJS DEVELOPER,WEB DEVELOPER",0
612,"JULIA,JAVA",IT,DBMP,,1
613,"R,COBOL,SWIFT",IT,B,"REACTJS DEVELOPER,DATA SCIENTIST",0
614,JAVA,IT,DBM,FRONTEND DEVELOPER,0
615,"FORTRAN,DART",IT,DBM,"DATA SCIENTIST,MEAN STACK DEVELOPER",0
616,"PHP,JULIA",CS,DBM,"MEAN STACK DEVELOPER,PRODUCT MANAGER",0
617,"KOTLIN,OBJECTIVE-C",CS,DBMP,"WEB DEVELOPER,MEAN STACK DEVELOPER",0
618,RUST,IT,DBM,MERN STACK DEVELOPER,0
619,"C#,KOTLIN",IT,DBM,RUBY ON RAILS DEVELOPER,0
620,"KOTLIN,JAVA,R",CS,BMP,FULL STACK DEVELOPER,1
621,"OBJECTIVE-C,FORTRAN,R",IT,B,,1
622,"R,FORTRAN",IT,DBM,PYTHON DEVELOPER,0
623,"FORTRAN,PHP,SQL",CS,DBMP,MEAN STACK DEVELOPER,1
624,"PYTHON,R,JAVASCRIPT",IT,DBM,DATA SCIENTIST,0
625,"C/C++,COBOL",CS,DBMP,,0
626,"JULIA,KOTLIN",CS,BMP,,1
627,OBJECTIVE-C,CS,DBM,REACTJS DEVELOPER,1
628,"FORTRAN,JAVASCRIPT,PYTHON",IT,B,,0
629,"SWIFT,CSS,KOTLIN",CS,BM,,1
630,"R,C#,PYTHON",CS,DB,DATA SCIENTIST,0
631,DART,CS,DBMP,,0
632,R,CS,DBMP,FULL STACK DEVELOPER,0
633,JAVASCRIPT,CS,DBMP,"JAVASCRIPT DEVELOPER,WEB DEVELOPER",0
634,"PERL,PHP,C/C++",CS,DB,"PYTHON DEVELOPER,PRODUCT MANAGER",0
635,"CSS,RUST",CS,DBM,"DATA SCIENTIST,BACKEND DEVELOPER",0
636,RUST,CS,DB,FULL STACK DEVELOPER,0
637,"DART,JAVA",IT,B,"PRODUCT MANAGER,MEAN STACK DEVELOPER",1
638,"PERL,C#,R",IT,DB,"FRONTEND DEVELOPER,DATA ANALYST",0
639,"PHP,RUBY,JAVASCRIPT",CS,B,"WEB DEVELOPER,DATA SCIENTIST",1
640,FORTRAN,IT,DBMP,,0
641,"JULIA,RUBY",CS,DBM,,1
642,"PYTHON,HTML",IT,BMP,JAVASCRIPT DEVELOPER,1
643,"RUST,HTML",IT,DB,,1
644,"C/C++,KOTLIN",IT,BMP,"REACTJS DEVELOPER,WEB DEVELOPER",1
645,"JULIA,JAVA,FORTRAN",CS,BM,,0
646,"SWIFT,JAVA",IT,DB,,0
647,"PHP,CSS",IT,BMP,"JAVASCRIPT DEVELOPER,PYTHON DEVELOPER",0
648,"DART,COBOL,KOTLIN",IT,BM,,0
649,RUBY,CS,BMP,,0
650,OBJECTIVE-C,IT,B,MEAN STACK DEVELOPER,0
651,HTML,CS,DB,"MEAN STACK DEVELOPER,REACTJS DEVELOPER",0
652,"JAVA,RUST",CS,B,"FRONTEND DEVELOPER,REACTJS DEVELOPER",0
653,"OBJECTIVE-C,RUST",IT,DB,REACTJS DEVELOPER,1
654,C#,CS,BM,,1
655,JULIA,CS,BM,"MERN STACK DEVELOPER,JAVASCRIPT DEVELOPER",0
656,"DART,RUST",IT,DBMP,"MEAN STACK DEVELOPER,WEB DEVELOPER",1
657,C#,CS,B,PRODUCT MANAGER,1
658,"RUBY,COBOL",IT,B,WEB DEVELOPER,1
659,"DART,JAVA,RUST",CS,BMP,"JAVASCRIPT DEVELOPER,MERN STACK DEVELOPER",1
660,"FORTRAN,OBJECTIVE-C",CS,DBMP,DATA ANALYST,1
661,PHP,IT,DBM,PYTHON DEVELOPER,1
662,"C/C++,OBJECTIVE-C,RUBY",IT,DB,,1
663,"JULIA,SWIFT",IT,BM,"MERN STACK DEVELOPER,JAVASCRIPT DEVELOPER",1
664,"PYTHON,C/C++",CS,BM,FULL STACK DEVELOPER,0
665,"R,KOTLIN",CS,BM,MERN STACK DEVELOPER,0
666,"OBJECTIVE-C,DART",IT,BMP,DATA SCIENTIST,1
667,"R,JAVA,JAVASCRIPT",CS,DB,BACKEND DEVELOPER,1
668,JULIA,CS,DBM,PYTHON DEVELOPER,0
669,"R,C/C++,COBOL",IT,B,WEB DEVELOPER,0
670,"JULIA,PHP,RUST",IT,BMP,FULL STACK DEVELOPER,1
671,"HTML,COBOL,SWIFT",CS,B,"RUBY ON RAILS DEVELOPER,MERN STACK DEVELOPER",0
